,host,dopant,BC-32a-d-x1,BW-32a-d-x1,BF-32a-d-x1,BC-32a-s-x1,BW-32a-s-x1,BF-32a-s-x1,BC-32a-p-x1,BW-32a-p-x1,BF-32a-p-x1,BC-19a-d-x2,BW-19a-d-x2,BF-19a-d-x2,BC-19a-s-x2,BW-19a-s-x2,BF-19a-s-x2,BC-19a-p-x2,BW-19a-p-x2,BF-19a-p-x2,BC-32a-d-x2,BW-32a-d-x2,BF-32a-d-x2,BC-32a-s-x2,BW-32a-s-x2,BF-32a-s-x2,BC-32a-p-x2,BW-32a-p-x2,BF-32a-p-x2,BC-31a-d-x1,BW-31a-d-x1,BF-31a-d-x1,BC-31a-s-x1,BW-31a-s-x1,BF-31a-s-x1,BC-31a-p-x1,BW-31a-p-x1,BF-31a-p-x1,FE-x1,FE-x2,SFE-x1-diff,MR-h-MR-dp-del,NE-s-h-NE-s-dp-del,NE-p-h-NE-p-dp-del,NE-d-h-NE-d-dp-del,CE-h-CE-dp-del,surf_ad_en_x1,surf_ad_en_x2,SE-in
22,Co,Rh,-2.069528536,1.585071229,0.892377757,-3.466534193,2.298460583,0.918985815,-2.739153155,2.566806715,0.849492421,-2.569015736,1.866444244,0.893436964,-4.842605225,2.055074899,0.972140156,-3.834110164,2.268707811,0.944441756,-1.464508057,1.604562427,0.81058621,-3.898674166,4.317667982,0.930897135,-3.653919637,9.056692037,0.86019464,-1.504178411,1.605533012,0.813816859,-3.705327223,2.159685131,0.937578112,-2.57461754,2.339779512,0.859230396,-0.24825603,0.214160831,-0.016898467,-9,1,-6,-11,0.410133904,-2997.484929,-2997.478152,-0.092205816
23,Co,Co,-1.489853427,1.452776344,0.817829358,-3.753943127,2.097737393,0.947489075,-2.675174962,2.305505804,0.88289023,-1.686310725,1.600885536,0.820316934,-4.813114767,1.938864852,0.974633515,-3.667626833,2.103602664,0.951727361,-1.489853427,1.452776344,0.817829358,-3.753943127,2.097737393,0.947489075,-2.675174962,2.305505804,0.88289023,-1.489008374,1.450682501,0.818105576,-3.76073021,2.093489957,0.94893114,-2.670851779,2.310165783,0.882027726,0,0,0,0,0,0,0,0,-2841.921242,-2841.921242,0
24,Cu,Co,-0.925700083,1.503250752,0.781886084,0.281558612,4.077571721,0.461567179,0.717838092,3.448491728,0.349887988,-0.945476186,1.568624481,0.780841027,-0.316344296,4.253309767,0.461669466,-0.770597441,3.74839417,0.523072895,-2.316460273,1.024432954,0.977889796,-0.322890071,4.03807826,0.512312329,0.53108074,3.41724592,0.374695527,-2.281426129,1.035461779,0.97720476,0.17127251,4.176843615,0.479956987,0.874030375,3.518094367,0.350907989,0.93366688,0.690546661,-0.044853706,2,-1,0,3,1.586537798,-4236.21837,-4236.177894,-0.550704235
25,Cu,Au,-3.697513515,1.52804397,0.973084966,0.073627536,4.296045056,0.481349966,1.508373327,3.469142675,0.280121644,-4.257410268,1.852801,0.969044712,-0.506485627,4.754681445,0.466606092,-1.077879731,3.98344895,0.572881401,-2.195071024,1.024434294,0.97884736,0.488427545,4.177824121,0.439885018,1.03629846,3.563217177,0.325164107,-2.293526667,1.071587435,0.977946888,0.224159789,4.297309025,0.463109945,0.738464077,3.642746889,0.361332077,-0.40262628,0.166840213,0.004779187,-16,-4,-12,-20,-0.368199374,-4244.043869,-4244.053456,0.1304378273517383
26,Cu,Ag,-4.051932804,1.272093919,0.983196646,0.654795718,3.807537614,0.42311945,1.774302756,3.278260577,0.242088938,-4.552888798,1.608547291,0.978820678,0.008475126,4.451300815,0.436369476,-0.904787952,3.962593148,0.550603229,-2.200567933,1.003005371,0.97905978,0.457941725,4.150144246,0.444588903,1.101518912,3.482495727,0.318571222,-2.298992137,1.052047671,0.978404536,0.2154689,4.263017185,0.466868993,0.715928883,3.537138255,0.361534307,0.025628713,0.542522789,0.00623946,-16,-2,-6,-10,-0.7588357,-4253.636412,-4253.631212,-0.07074963
27,Cu,Ir,-1.274507704,1.940992654,0.830302632,-0.224498126,4.217981584,0.505764669,0.808781956,3.423871236,0.328358926,-1.585668545,2.168398081,0.832899822,-0.473706004,4.537142472,0.474113771,-0.663073285,3.879978593,0.520647062,-2.245872788,1.055719139,0.976665924,0.162742118,4.202939675,0.463049454,0.784636959,3.519888223,0.351829709,-2.240042977,1.064073442,0.975480524,-0.144140076,4.164576243,0.507236485,0.779783096,3.56186717,0.361060256,0.599271815,0.395023076,-0.078170461,-9,0,-12,-17,3.776158095,-4220.68084,-4220.678461,-0.032367956
28,Cu,Ni,-0.831179327,1.249555536,0.898150835,0.480652816,4.131786706,0.44427863,0.804759717,3.486964601,0.347001565,-1.027378873,1.39507809,0.898959785,0.284211391,4.421972029,0.415450754,-0.393432845,3.930521214,0.496591634,-2.26530848,1.05262685,0.977196127,0.368809133,4.232705557,0.449797783,0.956884621,3.569861955,0.342178274,-2.248187295,1.042007496,0.977538661,0.413884364,4.225408562,0.456542017,1.018936228,3.559395467,0.339335199,0.256910954,0.046145086,-0.037676061,3,0,0,2,1.277232321,-4259.19537,-4259.189865,-0.074899368
29,Cu,Pt,-2.074829848,1.788409902,0.917928951,0.062969449,4.31123857,0.481302339,1.076272307,3.604785629,0.320291655,-2.481949764,2.024709953,0.91849158,-0.37228324,4.631774546,0.462989905,-1.128981584,3.97086997,0.577716462,-2.18329174,1.039510799,0.977970749,0.427141638,4.208176005,0.443791676,0.975690055,3.551152275,0.334378871,-2.248688858,1.068082046,0.97687701,0.255723329,4.284679117,0.465370568,0.864591103,3.608890914,0.349541056,-0.58099222,-0.435030291,-0.035152242,-12,0,-12,-19,1.889204715,-4231.371835,-4231.39169,0.2701411351047247
30,Cu,Rh,-1.135084916,1.701791875,0.850174877,-0.621039083,3.885084138,0.549187015,0.999383388,3.693957133,0.326440905,-1.44774367,1.935588116,0.856659647,-1.136866075,4.451069512,0.563971148,-1.589813764,3.917550164,0.628573867,-2.207034077,1.150609071,0.977336856,0.224097743,4.633985525,0.454977696,0.549879883,6.523726457,0.336987061,-2.228687045,1.154618771,0.97643892,-0.026659743,4.121231156,0.494548883,0.889174445,3.472494695,0.343745203,0.282559736,0.138434576,-0.061752173,-7,0,-6,-8,1.996671702,-4391.789347,-4391.791833,0.033823765
31,Cu,Pd,-2.026085705,1.507991011,0.941670296,0.289821795,3.910098896,0.448662259,1.783836607,3.751303312,0.262287,-2.435913047,1.744687937,0.941008444,-0.111427041,4.500438888,0.452987832,-2.186629435,3.999810731,0.692719931,-2.16669672,1.014369355,0.978484073,0.417310498,4.158668059,0.448487799,1.075849091,3.458533702,0.322573881,-2.242702829,1.047698081,0.977862278,0.243915425,4.218454151,0.466359045,0.889838348,3.489800475,0.340457097,-0.400196302,-0.261812747,-0.027811192,-10,0,-6,-10,0.256316318,-4237.249176,-4237.266535,0.23618131271898415
